Surfer_ID,Name,Country,Event_Score,Waves_Surfed,Best_Wave_Score,Rank,Prize_Money_Won
1,Surfer_1,FRA,12.60412881,9,9.210115375,23,48745.34558
2,Surfer_2,ZAF,14.07170512,16,5.97190017,16,49324.32648
3,Surfer_3,BRA,9.46832513,17,7.056769525,39,35209.92399
4,Surfer_4,ZAF,9.01896688,7,8.497561054,45,27268.72195
5,Surfer_5,ZAF,19.06262911,8,5.691765462,42,16166.8532
6,Surfer_6,AUS,21.78120014,7,5.663727111,39,40875.95597
7,Surfer_7,BRA,14.63994939,5,9.847684336,14,34551.82746
8,Surfer_8,BRA,20.01766449,5,8.572975521,31,8968.230028
9,Surfer_9,BRA,16.80818013,16,5.205337584,5,45635.43204
10,Surfer_10,ZAF,11.77440123,16,6.994104507,35,41304.3249
11,Surfer_11,FRA,16.80697803,18,7.167603688,23,47540.19575
12,Surfer_12,BRA,22.69018283,17,8.720213215,29,36560.25591
13,Surfer_13,JPN,14.8208698,18,6.254302637,43,31057.3446
14,Surfer_14,ZAF,22.82321828,9,5.921668372,11,21493.90878
15,Surfer_15,AUS,1.90127448,10,5.404364833,18,46703.69568
16,Surfer_16,FRA,19.10951252,7,7.141572375,47,43437.13059
17,Surfer_17,JPN,15.43523534,16,8.442499504,12,3215.714835
18,Surfer_18,JPN,13.50496325,13,5.290967978,9,2291.98175
19,Surfer_19,AUS,15.45880388,9,9.576068638,10,19446.70498
20,Surfer_20,FRA,5.062155427,12,7.211761149,44,40717.11321
21,Surfer_21,ZAF,13.90164056,17,6.198936796,17,49376.53034
22,Surfer_22,USA,16.78556286,5,5.46936645,38,8370.427664
23,Surfer_23,FRA,22.38947022,18,5.914329986,7,30112.40505
24,Surfer_24,AUS,12.40864891,9,9.673069987,46,19663.65197
25,Surfer_25,JPN,10.95753199,19,8.191352969,13,48525.80549
26,Surfer_26,ZAF,12.49121478,7,7.583481287,40,42263.82723
27,Surfer_27,FRA,19.57701059,16,8.285556643,42,42078.10653
28,Surfer_28,USA,16.64375555,5,7.178364493,9,23965.96483
29,Surfer_29,USA,12.35119898,8,8.650196583,50,21326.15561
30,Surfer_30,BRA,17.56633717,19,5.238580638,27,14396.94652
31,Surfer_31,BRA,15.48538775,17,7.830186052,2,3762.399336
32,Surfer_32,AUS,19.84322495,9,5.793232238,5,43371.39644
33,Surfer_33,FRA,11.48973453,11,5.600823239,29,40832.14945
34,Surfer_34,FRA,13.36168927,5,6.709398334,37,49986.16599
35,Surfer_35,JPN,13.03945923,7,5.458995329,38,49835.20502
36,Surfer_36,JPN,7.682425259,6,5.470784941,19,28216.15357
37,Surfer_37,JPN,16.48060139,13,6.557066547,8,38680.38334
38,Surfer_38,BRA,16.30527636,14,9.897552643,48,47293.52076
39,Surfer_39,FRA,15.02556728,19,5.876651349,45,42632.72214
40,Surfer_40,FRA,13.82706433,10,5.085805509,1,13120.05699
41,Surfer_41,USA,7.92314629,14,8.816822115,22,23076.66263
42,Surfer_42,BRA,12.89677339,7,9.034564885,17,7328.811342
43,Surfer_43,ZAF,13.28642742,12,6.731521605,7,47748.50034
44,Surfer_44,BRA,10.98861365,18,7.323369065,25,30702.55709
45,Surfer_45,ZAF,14.19357144,12,8.248868413,45,12203.49747
46,Surfer_46,USA,17.02025428,6,5.240294621,4,33913.33354
47,Surfer_47,AUS,24.43092951,19,9.745728658,36,31288.28378
48,Surfer_48,FRA,15.87288906,10,9.433401936,6,18549.97318
49,Surfer_49,USA,16.28775195,11,6.304468117,31,6564.322018
50,Surfer_50,FRA,14.62777042,6,5.076522701,19,33907.08658
51,Surfer_51,JPN,5.406143924,19,9.66718154,44,26495.07734
52,Surfer_52,AUS,14.86743062,15,7.50519942,39,38843.6012
53,Surfer_53,AUS,15.30115105,14,7.696887242,27,26488.01155
54,Surfer_54,USA,27.31621056,6,8.419818847,10,42756.89352
55,Surfer_55,AUS,14.03819518,14,8.079255822,26,28043.4351
56,Surfer_56,ZAF,16.50773671,5,9.719458023,19,28485.96061
57,Surfer_57,AUS,14.82644115,12,9.721257986,39,43956.02653
58,Surfer_58,FRA,9.156609812,5,9.335994668,3,20770.66044
59,Surfer_59,FRA,20.71411407,13,8.182017987,45,7566.746194
60,Surfer_60,FRA,18.75966516,15,9.004746473,13,2410.351139
61,Surfer_61,FRA,18.95515974,10,8.385841712,50,38001.72553
62,Surfer_62,ZAF,10.45306273,11,7.866835208,28,31395.16802
63,Surfer_63,BRA,22.01397155,17,5.642501766,20,35499.90864
64,Surfer_64,JPN,7.990744686,14,9.056020884,28,11435.24391
65,Surfer_65,USA,17.93428547,11,9.103197379,8,7682.202304
66,Surfer_66,FRA,25.95227813,14,8.129698351,41,1712.688618
67,Surfer_67,AUS,10.04731837,7,9.102134219,39,18178.79038
68,Surfer_68,FRA,12.16851135,6,8.257423859,1,29905.96666
